#         t          x          y          z         vx         vy         vz
      0.000    -98.560   -119.990   -127.760    -28.430    173.920     93.230
      0.100   -100.896   -102.033   -117.811    -18.287    185.211    105.753
      0.200   -102.070    -82.916   -106.509     -5.188    197.147    120.277
      0.300   -101.721    -62.582    -93.627     12.156    209.530    137.370
      0.400    -99.322    -41.019    -78.870     35.821    221.724    157.762
      0.500    -94.070    -18.334    -61.872     69.234    231.979    182.211
      0.600    -84.715      5.045    -42.224    117.861    235.594    210.743
      0.700    -69.414     27.854    -19.717    188.149    220.591    239.387
      0.800    -46.272     47.109      4.815    274.692    164.512    251.260
      0.900    -15.953     58.713     28.376    331.696     67.569    219.958
      1.000     17.174     61.269     47.677    330.841    -16.445    166.076
      1.100     48.863     57.124     61.952    302.948    -66.454    119.418
      1.200     77.553     49.130     72.181    270.842    -93.439     85.153
      1.300    103.164     39.067     79.454    241.377   -107.819     60.305
      1.400    126.017     27.910     84.561    215.687   -115.327     41.837
      1.500    146.474     16.197     88.037    193.444   -118.927     27.689
      1.600    164.849      4.241     90.249    174.062   -120.200     16.546
      1.700    181.402     -7.771     91.454    157.002   -120.026      7.558
      1.800    196.343    -19.718     91.840    141.822   -118.921      0.164
      1.900    209.843    -31.524     91.547    128.176   -117.200     -6.019
      2.000    222.042    -43.137     90.683    115.796   -115.059    -11.263
      2.100    233.055    -54.521     89.332    104.468   -112.628    -15.761
      2.200    242.979    -65.652     87.561     94.025   -109.992    -19.656
      2.300    251.897    -76.512     85.426     84.332   -107.208    -23.058
      2.400    259.878    -87.089     82.970     75.281   -104.314    -26.048
      2.500    266.981    -97.371     80.233     66.783   -101.339    -28.691
      2.600    273.258   -107.353     77.247     58.764    -98.300    -31.038
      2.700    278.755   -117.029     74.038     51.163    -95.211    -33.131
      2.800    283.509   -126.393     70.632     43.929    -92.079    -35.000
      2.900    287.557   -135.443     67.048     37.017    -88.909    -36.675
      3.000    290.927   -144.173     63.306     30.389    -85.706    -38.176
      3.100    293.647   -152.582     59.421     24.013    -82.469    -39.522
      3.200    295.741   -160.666     55.408     17.861    -79.199    -40.727
      3.300    297.229   -168.420     51.282     11.907    -75.895    -41.805
      3.400    298.131   -175.843     47.053      6.130    -72.554    -42.766
      3.500    298.463   -182.929     42.734      0.509    -69.175    -43.618
      3.600    298.240   -189.676     38.334     -4.971    -65.752    -44.369
      3.700    297.475   -196.077     33.865    -10.329    -62.283    -45.024
      3.800    296.179   -202.130     29.334    -15.577    -58.762    -45.588
      3.900    294.364   -207.827     24.752    -20.730    -55.185    -46.066
      4.000    292.038   -213.164     20.125    -25.800    -51.546    -46.460
      4.100    289.208   -218.133     15.464    -30.797    -47.838    -46.771
      4.200    285.881   -222.727     10.775    -35.732    -44.054    -47.002
      4.300    282.064   -226.939      6.067    -40.617    -40.187    -47.153
      4.400    277.760   -230.760      1.349    -45.459    -36.228    -47.222
      4.500    272.974   -234.180     -3.373    -50.269    -32.168    -47.200
      4.600    267.707   -237.188     -8.087    -55.054    -27.996    -47.093
      4.700    261.964   -239.773    -12.787    -59.824    -23.700    -46.899
      4.800    255.743   -241.921    -17.463    -64.587    -19.269    -46.615
      4.900    249.046   -243.619    -22.105    -69.352    -14.686    -46.235
      5.000    241.872   -244.850    -26.705    -74.126     -9.936    -45.754
      5.100    234.220   -245.597    -31.250    -78.918     -4.999    -45.164
      5.200    226.087   -245.840    -35.731    -83.736      0.145    -44.456
      5.300    217.471   -245.556    -40.135    -88.588      5.521    -43.619
      5.400    208.368   -244.723    -44.448    -93.484     11.157    -42.639
      5.500    198.772   -243.310    -48.655    -98.430     17.086    -41.500
      5.600    188.678   -241.289    -52.739   -103.436     23.348    -40.181
      5.700    178.081   -238.622    -56.681   -108.510     29.986    -38.658
      5.800    166.973   -235.270    -60.459   -113.657     37.055    -36.901
      5.900    155.346   -231.186    -64.048   -118.885     44.621    -34.870
      6.000    143.192   -226.317    -67.417   -124.198     52.762    -32.519
      6.100    130.502   -220.600    -70.532   -129.595     61.576    -29.785
      6.200    117.269   -213.962    -73.351   -135.072     71.181    -26.590
      6.300    103.484   -206.317    -75.822   -140.613     81.731    -22.828
      6.400     89.144   -197.559    -77.881   -146.187     93.418    -18.360
      6.500     74.248   -187.563    -79.449   -151.734    106.493    -12.995
      6.600     58.804   -176.175    -80.422   -157.146    121.286     -6.465
      6.700     42.836   -163.198    -80.665   -162.222    138.238      1.616
      6.800     26.395   -148.389    -79.993   -166.600    157.942     11.821
